size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.000000, 0.000000, 187.500000, 0.000000, 0.000000, 0.000000, 0.000000, 
160, 7.322, 0.000000, 0.000000, 234.375000, 0.000000, 0.000000, 0.000000, 0.000000, 
192, 7.585, 0.000000, 0.000000, 281.250000, 0.000000, 0.000000, 0.000000, 0.000000, 
384, 8.585, 0.000000, 0.000000, 406.250000, 0.000000, 0.000000, 0.000000, 0.000000, 
480, 8.907, 0.000000, 0.000000, 625.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
640, 9.322, 0.000000, 0.000000, 453.125000, 0.000000, 0.000000, 0.000000, 0.000000, 
768, 9.585, 0.000000, 0.000000, 515.625000, 0.000000, 0.000000, 0.000000, 0.000000, 
800, 9.644, 0.000000, 0.000000, 468.750000, 0.000000, 0.000000, 0.000000, 0.000000, 
2400, 11.229, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
9216, 13.170, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
